p,mv_ac,sums_ac,al_ac,inv_ac,pInv_ac,em_ac,g_ac
0.7,0.961,0.958,0.961,0.839,0.747,0.961,0.960333333333
0.7,0.967,0.965,0.969,0.79,0.771,0.964,0.967333333333
0.7,0.981981981982,0.974974974975,0.977977977978,0.821821821822,0.740740740741,0.976976976977,0.97964631298
0.7,0.964929859719,0.958917835671,0.963927855711,0.819639278557,0.773547094188,0.963927855711,0.965263861055
0.7,0.968,0.962,0.963,0.813,0.72,0.963,0.961333333333
0.7,0.969,0.962,0.964,0.819,0.776,0.962,0.962666666667
0.7,0.954954954955,0.963963963964,0.957957957958,0.794794794795,0.728728728729,0.95995995996,0.961628294962
0.7,0.965965965966,0.963963963964,0.964964964965,0.870870870871,0.822822822823,0.965965965966,0.963963963964
0.7,0.957746478873,0.956740442656,0.956740442656,0.784708249497,0.732394366197,0.955734406439,0.953722334004
0.7,0.952905811623,0.948897795591,0.946893787575,0.778557114228,0.761523046092,0.949899799599,0.952237808951
0.75,0.972,0.98,0.978,0.904,0.848,0.979,0.979333333333
0.75,0.978,0.984,0.983,0.914,0.869,0.981,0.98
0.75,0.980980980981,0.976976976977,0.977977977978,0.85985985986,0.815815815816,0.976976976977,0.978645311979
0.75,0.974,0.974,0.974,0.923,0.856,0.974,0.974666666667
0.75,0.976,0.978,0.976,0.895,0.844,0.978,0.977666666667
0.75,0.968,0.976,0.97,0.825,0.851,0.974,0.974
0.75,0.988,0.989,0.987,0.863,0.915,0.985,0.987
0.75,0.982,0.98,0.98,0.883,0.818,0.981,0.981333333333
0.75,0.981,0.983,0.983,0.907,0.886,0.983,0.983666666667
0.75,0.984,0.978,0.981,0.936,0.91,0.982,0.983
0.8,0.983,0.985,0.985,0.978,0.978,0.985,0.981666666667
0.8,0.993,0.993,0.992,0.983,0.987,0.99,0.992333333333
0.8,0.994,0.994,0.995,0.969,0.979,0.994,0.993666666667
0.8,0.992,0.994,0.994,0.993,0.994,0.993,0.993666666667
0.8,0.985,0.986,0.985,0.978,0.982,0.984,0.986666666667
0.8,0.988,0.986,0.988,0.977,0.977,0.987,0.985666666667
0.8,0.991,0.989,0.989,0.978,0.988,0.99,0.990666666667
0.8,0.992,0.986,0.988,0.983,0.987,0.987,0.987
0.8,0.987,0.987,0.987,0.96,0.943,0.987,0.987
0.8,0.982,0.987,0.986,0.972,0.977,0.986,0.984333333333
0.85,0.997,0.997,0.997,0.996,0.997,0.997,0.996666666667
0.85,0.993,0.994,0.994,0.993,0.995,0.992,0.993666666667
0.85,0.993,0.994,0.995,0.995,0.994,0.995,0.994333333333
0.85,0.997,0.998,0.996,0.997,0.997,0.996,0.996333333333
0.85,0.999,1.0,1.0,0.992,0.994,1.0,1.0
0.85,0.994,0.994,0.993,0.988,0.989,0.993,0.993666666667
0.85,0.998,0.996,0.996,0.993,0.996,0.996,0.996333333333
0.85,0.996,0.994,0.993,0.995,0.995,0.993,0.994333333333
0.85,0.998,0.998,0.999,0.994,0.997,0.999,0.998
0.85,0.993,0.996,0.995,0.995,0.995,0.995,0.994
0.9,0.999,1.0,1.0,1.0,1.0,1.0,0.999333333333
0.9,0.998,0.999,0.999,0.999,0.998,0.999,0.999333333333
0.9,0.999,0.999,0.999,0.999,0.998,0.998,0.998333333333
0.9,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0.9,0.996,0.999,0.997,0.997,0.997,0.997,0.998
0.9,1.0,0.999,1.0,1.0,1.0,1.0,0.999666666667
0.9,1.0,0.999,0.999,0.999,0.999,0.999,0.999
0.9,0.998998998999,0.998998998999,1.0,0.998998998999,1.0,1.0,0.998998998999
0.9,0.999,0.999,0.998,0.998,0.998,0.998,0.998666666667
0.9,0.997,0.997,0.999,0.999,0.999,0.999,0.998666666667
0.95,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.999666666667
0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,1.0,0.999,0.999,0.999,0.999,0.999,0.999333333333
0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.998,0.999,0.999,0.999,0.999,0.999,0.998333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
