,pi,mv,em,g,gf
0,1.0,0.905,0.999999629769,0.99999944108,0.999977019914
1,1.0,0.908,0.999999963642,0.999999911633,0.999997842073
2,1.0,0.891,0.999996587774,0.999990332478,0.999938320273
3,1.0,0.891,0.999999888165,0.99999983024,0.999993793919
4,1.0,0.913,0.999999942198,0.999999880856,0.999990082638
5,0.95,0.884,0.999997161167,0.999995661606,0.999995529486
6,0.95,0.872,0.999994290086,0.999989466461,0.999977271289
7,0.95,0.848,0.99993084136,0.999876938824,0.999988170502
8,0.95,0.874,0.999949893865,0.999916701115,0.999991433719
9,0.95,0.854,0.999846912401,0.999770591744,0.999821923965
10,0.9,0.831,0.999752555191,0.999588452154,0.999700982555
11,0.9,0.826,0.99825555821,0.998003505479,0.99996953573
12,0.9,0.826,0.994266792698,0.993444909133,0.992849399532
13,0.9,0.821,0.996971344129,0.996787430399,0.999413800977
14,0.9,0.839,0.999329710598,0.999028162555,0.999931752949
15,0.85,0.807,0.998540215562,0.998238399876,0.999815737015
16,0.85,0.791,0.995246449251,0.992291911585,0.997840168848
17,0.85,0.78,0.988246300012,0.987933549463,0.999000164383
18,0.85,0.78,0.980980999419,0.979715744652,0.992770124367
19,0.85,0.777,0.984522707704,0.982517712336,0.999834055727
20,0.8,0.778,0.979494764051,0.976568860438,0.999853525971
21,0.8,0.762,0.971185357211,0.968720546442,0.989735344636
22,0.8,0.772,0.979671385332,0.977337136775,0.981146156422
23,0.8,0.732,0.925858684654,0.925127918367,0.964906018825
24,0.8,0.762,0.978924368863,0.977686566126,0.986346389568
25,0.75,0.712,0.910116876174,0.910918792827,0.917110749638
26,0.75,0.717,0.921942130761,0.915691489412,0.955829553332
27,0.75,0.725,0.963267705273,0.962236367311,0.996813764159
28,0.75,0.749,0.954762027156,0.951585252324,0.997284068525
29,0.75,0.696,0.903017073838,0.902195440701,0.923683324638
30,0.7,0.696,0.844688691661,0.833710517165,0.894864455902
31,0.7,0.704,0.909380851731,0.901951818669,0.941574421406
32,0.7,0.702,0.875675289759,0.874397127978,0.88529520244
33,0.7,0.707,0.88629656907,0.881723945784,0.926032210385
34,0.7,0.694,0.891269399368,0.886274742571,0.910619423225
0,1.0,0.901,0.999998203204,0.999998405849,0.999995310112
1,1.0,0.906,0.999997446332,0.999997203703,0.999997525351
2,1.0,0.905,0.999999900497,0.999999699622,0.999991345797
3,1.0,0.893,0.999996127712,0.999993838455,0.999890253682
4,1.0,0.892,0.999998557602,0.99999783499,0.999995935008
5,0.95,0.859,0.998300300705,0.998182810034,0.999971709118
6,0.95,0.865,0.999964083718,0.999941622339,0.999993671273
7,0.95,0.859,0.998262031457,0.997593801449,0.999955444831
8,0.95,0.88,0.999996323822,0.9999936357,0.99997548883
9,0.95,0.866,0.999929355126,0.999909925579,0.999997276812
10,0.9,0.824,0.999887189047,0.999866350165,0.998432345155
11,0.9,0.815,0.999790599343,0.999672718625,0.999992738685
12,0.9,0.829,0.997647622691,0.996834585568,0.999879132945
13,0.9,0.823,0.999795801483,0.999677349433,0.999932209942
14,0.9,0.806,0.992754918017,0.993408390214,0.99964588264
15,0.85,0.805,0.987815700546,0.987531074921,0.993330841852
16,0.85,0.758,0.958560699838,0.954207806996,0.978493925712
17,0.85,0.796,0.968230664815,0.967375096269,0.990865285278
18,0.85,0.804,0.997601384728,0.996066613043,0.999690528118
19,0.85,0.793,0.980609110711,0.978863960545,0.992300140697
20,0.8,0.769,0.959925559132,0.960299660107,0.982051824502
21,0.8,0.764,0.96278314792,0.959847368106,0.988099919564
22,0.8,0.75,0.983184766281,0.978807258641,0.999316871527
23,0.8,0.737,0.952676449107,0.94892320873,0.976679497579
24,0.8,0.746,0.960775278105,0.957754990854,0.978185997572
25,0.75,0.704,0.916572470682,0.913494339551,0.966369469553
26,0.75,0.729,0.944807718876,0.942997064269,0.954631725257
27,0.75,0.734,0.958345235108,0.95133393809,0.983176815964
28,0.75,0.716,0.942753089516,0.940258896568,0.953364807909
29,0.75,0.743,0.935470733079,0.93395198916,0.940622189846
30,0.7,0.692,0.895300717142,0.890858966163,0.906643096383
31,0.7,0.68,0.861499247098,0.852488776485,0.890551054339
32,0.7,0.708,0.911586549317,0.904756626373,0.943596167171
33,0.7,0.67,0.844755249419,0.838454300117,0.871500429361
34,0.7,0.668,0.851430959833,0.855923497772,0.840215708888
